buffalo_000_25x25_20_63,large_free_009_100x100_90_9000,london_night_00007_100x100_40_4000,medium_017_50x50_90_1202,medium_free_006_30x30_60_540,medium_free_007_30x30_70_630,medium_free_008_50x50_30_750,not_empty,small_007_20x20_40_82,small_008_20x20_40_83,small_010_20x20_50_175,small_011_20x20_90_183,small_012_20x20_70_186,election_109,medium_000_30x30_20_90,small_006_20x20_20_71,small_013_20x20_50_186,small_014_20x20_90_200,small_free_001_10x10_40_40,small_free_007_10x10_90_90,small_free_009_20x20_40_160,galaxy_cluster_00004_50x50_30_750,galaxy_cluster_00003_50x50_30_669,large_005_75x75_80_3223,large_free_007_100x100_60_6000,buffalo_free_001_25x25_40_250,clouds_00005_50x50_75_1875,galaxy_cluster2_00000_20x20_20_80,buffalo_free_000_25x25_20_125,galaxy_cluster2_00001_20x20_50_200,clouds_00000_20x20_40_160,clouds_00008_100x100_50_5000,clouds_00006_100x100_25_2374,galaxy_cluster2_00004_50x50_30_679,medium_003_50x50_20_256,buffalo_free_003_60x60_40_1440,medium_001_30x30_20_145,galaxy_cluster2_00005_50x50_50_860,galaxy_cluster_00000_20x20_20_80,clouds_00004_50x50_75_1745,buffalo_free_002_60x60_20_720,clouds_00009_100x100_75_7229,buffalo_free_004_60x60_60_2160,clouds_00007_100x100_40_4000,galaxy_cluster_00002_20x20_50_200,galaxy_cluster_00009_100x100_80_7838,galaxy_cluster2_00007_100x100_30_2878,large_002_100x100_30_1692,galaxy_cluster2_00006_100x100_20_2000,small_000_10x10_20_10,galaxy_cluster2_00008_100x100_30_3000,galaxy_cluster_00001_20x20_80_172,galaxy_cluster_00006_100x100_30_2850,small_001_10x10_40_30,large_001_75x75_30_1563,london_night_00000_20x20_40_140
56,994808.0,380957.0,615,105,108,124,-1.0,50,46,60,64,68,59,64,39.0,72.0,72.0,22.0,35.0,50.0,110,128,340132.0,-1.0,66,261,41,41,55,55,2023,399,110,147,253,-1.0,149,31,272,116,828613.0,317,939,55,9066,401,826,260,20,478,67,391,22,173,62
1835,1361481.0,507459.0,102391,24366,30130,40984,-1.0,2207,1801,4173,1747,6466,2590,3192,1139.0,6060.0,6510.0,416.0,1535.0,3430.0,34912,38939,460266.0,-1.0,6949,144278,1432,2223,4991,3791,721667,250344,29669,23048,114679,-1.0,59241,1031,132647,32670,1095242.0,195325,537725,4787,1211938,312507,209880,163867,106,370750,4999,326168,348,103997,3960
"{'algo_name': 'dist_from_grid_BIT', 'makespan': 62, 'sum': 1875}",,,"{'algo_name': 'dist_from_grid_BIT', 'makespan': 615, 'sum': 117887}","{'algo_name': 'dist_from_grid_BIT', 'makespan': 107, 'sum': 26484}","{'algo_name': 'dist_from_grid_BIT', 'makespan': 114, 'sum': 33824}","{'algo_name': 'dist_from_grid_BIT', 'makespan': 126, 'sum': 40984}",,"{'algo_name': 'dist_from_grid_BIT', 'makespan': 55, 'sum': 2207}","{'algo_name': 'dist_from_grid_BIT', 'makespan': 57, 'sum': 1897}","{'algo_name': 'dist_from_grid_BIT', 'makespan': 68, 'sum': 4375}","{'algo_name': 'dist_from_grid_BIT', 'makespan': 67, 'sum': 6183}","{'algo_name': 'dist_from_grid_BIT', 'makespan': 74, 'sum': 6784}","{'algo_name': 'dist_from_grid_BIT', 'makespan': 59, 'sum': 2850}","{'algo_name': 'dist_from_grid_BIT', 'makespan': 67, 'sum': 3282}",,,,,,,"{'algo_name': 'dist_from_grid_BIT', 'makespan': 131, 'sum': 37914}","{'algo_name': 'dist_from_grid_BIT', 'makespan': 135, 'sum': 40935}",,,"{'algo_name': 'dist_from_grid_BIT', 'makespan': 76, 'sum': 7273}","{'algo_name': 'dist_from_grid_BIT', 'makespan': 266, 'sum': 174198}","{'algo_name': 'dist_from_grid_BIT', 'makespan': 42, 'sum': 1462}","{'algo_name': 'dist_from_grid_BIT', 'makespan': 41, 'sum': 2223}","{'algo_name': 'dist_from_grid_BIT', 'makespan': 61, 'sum': 5021}","{'algo_name': 'dist_from_grid_BIT', 'makespan': 59, 'sum': 4021}",,,"{'algo_name': 'dist_from_grid_BIT', 'makespan': 120, 'sum': 32113}","{'algo_name': 'dist_from_grid_BIT', 'makespan': 160, 'sum': 23048}","{'algo_name': 'dist_from_grid_BIT', 'makespan': 261, 'sum': 126657}",,"{'algo_name': 'dist_from_grid_BIT', 'makespan': 163, 'sum': 66765}","{'algo_name': 'dist_from_grid_BIT', 'makespan': 38, 'sum': 1183}","{'algo_name': 'dist_from_grid_BIT', 'makespan': 285, 'sum': 160201}","{'algo_name': 'dist_from_grid_BIT', 'makespan': 116, 'sum': 35144}",,,,"{'algo_name': 'dist_from_grid_BIT', 'makespan': 62, 'sum': 4951}",,"{'algo_name': 'dist_from_grid_BIT', 'makespan': 493, 'sum': 338193}","{'algo_name': 'dist_from_grid_BIT', 'makespan': 826, 'sum': 218280}","{'algo_name': 'dist_from_grid_BIT', 'makespan': 260, 'sum': 183287}","{'algo_name': 'dist_from_grid_BIT', 'makespan': 29, 'sum': 124}",,"{'algo_name': 'dist_from_grid_BIT', 'makespan': 68, 'sum': 5705}",,"{'algo_name': 'dist_from_grid_BIT', 'makespan': 32, 'sum': 366}","{'algo_name': 'dist_from_grid_BIT', 'makespan': 184, 'sum': 117455}","{'algo_name': 'dist_from_grid_BIT', 'makespan': 70, 'sum': 4128}"
"{'algo_name': 'dist_from_grid_desc_BIT', 'makespan': 67, 'sum': 2071}",,,,"{'algo_name': 'dist_from_grid_desc_BIT', 'makespan': 112, 'sum': 27216}","{'algo_name': 'dist_from_grid_desc_BIT', 'makespan': 113, 'sum': 34182}","{'algo_name': 'dist_from_grid_desc_BIT', 'makespan': 124, 'sum': 45674}",,"{'algo_name': 'dist_from_grid_desc_BIT', 'makespan': 53, 'sum': 2259}","{'algo_name': 'dist_from_grid_desc_BIT', 'makespan': 58, 'sum': 1913}","{'algo_name': 'dist_from_grid_desc_BIT', 'makespan': 60, 'sum': 4609}","{'algo_name': 'dist_from_grid_desc_BIT', 'makespan': 66, 'sum': 6303}","{'algo_name': 'dist_from_grid_desc_BIT', 'makespan': 70, 'sum': 6728}","{'algo_name': 'dist_from_grid_desc_BIT', 'makespan': 63, 'sum': 3486}","{'algo_name': 'dist_from_grid_desc_BIT', 'makespan': 66, 'sum': 3278}",,,,,,,"{'algo_name': 'dist_from_grid_desc_BIT', 'makespan': 124, 'sum': 42258}","{'algo_name': 'dist_from_grid_desc_BIT', 'makespan': 137, 'sum': 43081}",,,"{'algo_name': 'dist_from_grid_desc_BIT', 'makespan': 79, 'sum': 7809}",,"{'algo_name': 'dist_from_grid_desc_BIT', 'makespan': 42, 'sum': 1660}","{'algo_name': 'dist_from_grid_desc_BIT', 'makespan': 51, 'sum': 2555}","{'algo_name': 'dist_from_grid_desc_BIT', 'makespan': 57, 'sum': 5287}","{'algo_name': 'dist_from_grid_desc_BIT', 'makespan': 55, 'sum': 4269}",,,"{'algo_name': 'dist_from_grid_desc_BIT', 'makespan': 130, 'sum': 35115}","{'algo_name': 'dist_from_grid_desc_BIT', 'makespan': 163, 'sum': 23978}",,,"{'algo_name': 'dist_from_grid_desc_BIT', 'makespan': 177, 'sum': 66007}","{'algo_name': 'dist_from_grid_desc_BIT', 'makespan': 39, 'sum': 1299}",,"{'algo_name': 'dist_from_grid_desc_BIT', 'makespan': 120, 'sum': 38708}",,,,"{'algo_name': 'dist_from_grid_desc_BIT', 'makespan': 55, 'sum': 5273}",,"{'algo_name': 'dist_from_grid_desc_BIT', 'makespan': 401, 'sum': 346541}",,"{'algo_name': 'dist_from_grid_desc_BIT', 'makespan': 291, 'sum': 205595}","{'algo_name': 'dist_from_grid_desc_BIT', 'makespan': 30, 'sum': 120}",,"{'algo_name': 'dist_from_grid_desc_BIT', 'makespan': 70, 'sum': 6077}",,"{'algo_name': 'dist_from_grid_desc_BIT', 'makespan': 27, 'sum': 394}",,"{'algo_name': 'dist_from_grid_desc_BIT', 'makespan': 62, 'sum': 4446}"
"{'algo_name': 'dist_from_target_BIT', 'makespan': 61, 'sum': 1875}",,,,"{'algo_name': 'dist_from_target_BIT', 'makespan': 113, 'sum': 26830}","{'algo_name': 'dist_from_target_BIT', 'makespan': 111, 'sum': 33896}","{'algo_name': 'dist_from_target_BIT', 'makespan': 128, 'sum': 44034}",,"{'algo_name': 'dist_from_target_BIT', 'makespan': 56, 'sum': 2225}","{'algo_name': 'dist_from_target_BIT', 'makespan': 59, 'sum': 1885}","{'algo_name': 'dist_from_target_BIT', 'makespan': 68, 'sum': 4509}","{'algo_name': 'dist_from_target_BIT', 'makespan': 65, 'sum': 6363}","{'algo_name': 'dist_from_target_BIT', 'makespan': 72, 'sum': 6812}","{'algo_name': 'dist_from_target_BIT', 'makespan': 61, 'sum': 3260}","{'algo_name': 'dist_from_target_BIT', 'makespan': 68, 'sum': 3192}",,,,,,,"{'algo_name': 'dist_from_target_BIT', 'makespan': 136, 'sum': 40914}","{'algo_name': 'dist_from_target_BIT', 'makespan': 152, 'sum': 41741}",,,"{'algo_name': 'dist_from_target_BIT', 'makespan': 83, 'sum': 8085}",,"{'algo_name': 'dist_from_target_BIT', 'makespan': 42, 'sum': 1536}","{'algo_name': 'dist_from_target_BIT', 'makespan': 49, 'sum': 2395}","{'algo_name': 'dist_from_target_BIT', 'makespan': 62, 'sum': 4993}","{'algo_name': 'dist_from_target_BIT', 'makespan': 59, 'sum': 4159}",,,"{'algo_name': 'dist_from_target_BIT', 'makespan': 133, 'sum': 34979}",,,,"{'algo_name': 'dist_from_target_BIT', 'makespan': 166, 'sum': 65861}","{'algo_name': 'dist_from_target_BIT', 'makespan': 36, 'sum': 1193}",,"{'algo_name': 'dist_from_target_BIT', 'makespan': 122, 'sum': 35826}",,,,"{'algo_name': 'dist_from_target_BIT', 'makespan': 61, 'sum': 5235}",,"{'algo_name': 'dist_from_target_BIT', 'makespan': 475, 'sum': 342181}",,"{'algo_name': 'dist_from_target_BIT', 'makespan': 296, 'sum': 185913}","{'algo_name': 'dist_from_target_BIT', 'makespan': 27, 'sum': 118}",,"{'algo_name': 'dist_from_target_BIT', 'makespan': 70, 'sum': 5765}",,"{'algo_name': 'dist_from_target_BIT', 'makespan': 33, 'sum': 412}",,"{'algo_name': 'dist_from_target_BIT', 'makespan': 73, 'sum': 4382}"
"{'algo_name': 'dist_from_target_desc_BIT', 'makespan': 66, 'sum': 2025}",,,,"{'algo_name': 'dist_from_target_desc_BIT', 'makespan': 110, 'sum': 27660}","{'algo_name': 'dist_from_target_desc_BIT', 'makespan': 113, 'sum': 33988}",,,"{'algo_name': 'dist_from_target_desc_BIT', 'makespan': 51, 'sum': 2369}","{'algo_name': 'dist_from_target_desc_BIT', 'makespan': 58, 'sum': 1897}","{'algo_name': 'dist_from_target_desc_BIT', 'makespan': 60, 'sum': 4433}","{'algo_name': 'dist_from_target_desc_BIT', 'makespan': 66, 'sum': 6213}","{'algo_name': 'dist_from_target_desc_BIT', 'makespan': 70, 'sum': 6846}","{'algo_name': 'dist_from_target_desc_BIT', 'makespan': 67, 'sum': 3134}","{'algo_name': 'dist_from_target_desc_BIT', 'makespan': 66, 'sum': 3352}",,,,,,,"{'algo_name': 'dist_from_target_desc_BIT', 'makespan': 139, 'sum': 45786}","{'algo_name': 'dist_from_target_desc_BIT', 'makespan': 132, 'sum': 43487}",,,"{'algo_name': 'dist_from_target_desc_BIT', 'makespan': 74, 'sum': 7815}","{'algo_name': 'dist_from_target_desc_BIT', 'makespan': 265, 'sum': 173306}","{'algo_name': 'dist_from_target_desc_BIT', 'makespan': 43, 'sum': 1718}","{'algo_name': 'dist_from_target_desc_BIT', 'makespan': 52, 'sum': 2713}","{'algo_name': 'dist_from_target_desc_BIT', 'makespan': 58, 'sum': 5271}","{'algo_name': 'dist_from_target_desc_BIT', 'makespan': 56, 'sum': 4405}","{'algo_name': 'dist_from_target_desc_BIT', 'makespan': 2023, 'sum': 721667}","{'algo_name': 'dist_from_target_desc_BIT', 'makespan': 421, 'sum': 294450}","{'algo_name': 'dist_from_target_desc_BIT', 'makespan': 113, 'sum': 36737}",,"{'algo_name': 'dist_from_target_desc_BIT', 'makespan': 253, 'sum': 130095}",,"{'algo_name': 'dist_from_target_desc_BIT', 'makespan': 175, 'sum': 67045}","{'algo_name': 'dist_from_target_desc_BIT', 'makespan': 39, 'sum': 1393}","{'algo_name': 'dist_from_target_desc_BIT', 'makespan': 286, 'sum': 158343}","{'algo_name': 'dist_from_target_desc_BIT', 'makespan': 125, 'sum': 40126}",,"{'algo_name': 'dist_from_target_desc_BIT', 'makespan': 317, 'sum': 222071}","{'algo_name': 'dist_from_target_desc_BIT', 'makespan': 939, 'sum': 549343}","{'algo_name': 'dist_from_target_desc_BIT', 'makespan': 60, 'sum': 5279}","{'algo_name': 'dist_from_target_desc_BIT', 'makespan': 9066, 'sum': 1219804}","{'algo_name': 'dist_from_target_desc_BIT', 'makespan': 515, 'sum': 358607}","{'algo_name': 'dist_from_target_desc_BIT', 'makespan': 862, 'sum': 215468}","{'algo_name': 'dist_from_target_desc_BIT', 'makespan': 264, 'sum': 226679}","{'algo_name': 'dist_from_target_desc_BIT', 'makespan': 25, 'sum': 116}","{'algo_name': 'dist_from_target_desc_BIT', 'makespan': 512, 'sum': 381468}","{'algo_name': 'dist_from_target_desc_BIT', 'makespan': 71, 'sum': 5989}","{'algo_name': 'dist_from_target_desc_BIT', 'makespan': 391, 'sum': 340272}","{'algo_name': 'dist_from_target_desc_BIT', 'makespan': 22, 'sum': 374}","{'algo_name': 'dist_from_target_desc_BIT', 'makespan': 173, 'sum': 146503}","{'algo_name': 'dist_from_target_desc_BIT', 'makespan': 62, 'sum': 4478}"
"{'algo_name': 'rand_BIT', 'makespan': 56, 'sum': 1841}",,,,"{'algo_name': 'rand_BIT', 'makespan': 108, 'sum': 27050}","{'algo_name': 'rand_BIT', 'makespan': 113, 'sum': 33846}",,,"{'algo_name': 'rand_BIT', 'makespan': 50, 'sum': 2219}","{'algo_name': 'rand_BIT', 'makespan': 46, 'sum': 1801}","{'algo_name': 'rand_BIT', 'makespan': 60, 'sum': 4343}","{'algo_name': 'rand_BIT', 'makespan': 64, 'sum': 6125}","{'algo_name': 'rand_BIT', 'makespan': 68, 'sum': 6584}","{'algo_name': 'rand_BIT', 'makespan': 59, 'sum': 3324}","{'algo_name': 'rand_BIT', 'makespan': 65, 'sum': 3244}",,,,,,,"{'algo_name': 'rand_BIT', 'makespan': 131, 'sum': 43160}","{'algo_name': 'rand_BIT', 'makespan': 138, 'sum': 41873}",,,"{'algo_name': 'rand_BIT', 'makespan': 66, 'sum': 7501}","{'algo_name': 'rand_BIT', 'makespan': 261, 'sum': 173898}","{'algo_name': 'rand_BIT', 'makespan': 41, 'sum': 1476}","{'algo_name': 'rand_BIT', 'makespan': 47, 'sum': 2413}","{'algo_name': 'rand_BIT', 'makespan': 55, 'sum': 4991}","{'algo_name': 'rand_BIT', 'makespan': 55, 'sum': 3971}",,,"{'algo_name': 'rand_BIT', 'makespan': 117, 'sum': 35429}","{'algo_name': 'rand_BIT', 'makespan': 147, 'sum': 23496}","{'algo_name': 'rand_BIT', 'makespan': 264, 'sum': 128093}",,"{'algo_name': 'rand_BIT', 'makespan': 154, 'sum': 65239}","{'algo_name': 'rand_BIT', 'makespan': 34, 'sum': 1153}","{'algo_name': 'rand_BIT', 'makespan': 272, 'sum': 159083}","{'algo_name': 'rand_BIT', 'makespan': 117, 'sum': 37756}",,,,"{'algo_name': 'rand_BIT', 'makespan': 57, 'sum': 5117}",,,"{'algo_name': 'rand_BIT', 'makespan': 1065, 'sum': 215572}","{'algo_name': 'rand_BIT', 'makespan': 293, 'sum': 209967}","{'algo_name': 'rand_BIT', 'makespan': 20, 'sum': 106}",,"{'algo_name': 'rand_BIT', 'makespan': 67, 'sum': 5677}",,"{'algo_name': 'rand_BIT', 'makespan': 22, 'sum': 360}","{'algo_name': 'rand_BIT', 'makespan': 196, 'sum': 132637}","{'algo_name': 'rand_BIT', 'makespan': 62, 'sum': 4164}"
"{'algo_name': 'OutAndInByPercentage_BIT', 'makespan': 66, 'sum': 1899}",,,,"{'algo_name': 'OutAndInByPercentage_BIT', 'makespan': 106, 'sum': 26252}","{'algo_name': 'OutAndInByPercentage_BIT', 'makespan': 112, 'sum': 33832}",,,"{'algo_name': 'OutAndInByPercentage_BIT', 'makespan': 63, 'sum': 2229}","{'algo_name': 'OutAndInByPercentage_BIT', 'makespan': 56, 'sum': 1867}","{'algo_name': 'OutAndInByPercentage_BIT', 'makespan': 60, 'sum': 4173}","{'algo_name': 'OutAndInByPercentage_BIT', 'makespan': 67, 'sum': 6263}","{'algo_name': 'OutAndInByPercentage_BIT', 'makespan': 73, 'sum': 6590}","{'algo_name': 'OutAndInByPercentage_BIT', 'makespan': 59, 'sum': 2590}","{'algo_name': 'OutAndInByPercentage_BIT', 'makespan': 65, 'sum': 3254}",,,,,,,"{'algo_name': 'OutAndInByPercentage_BIT', 'makespan': 110, 'sum': 34912}","{'algo_name': 'OutAndInByPercentage_BIT', 'makespan': 128, 'sum': 38939}",,,"{'algo_name': 'OutAndInByPercentage_BIT', 'makespan': 69, 'sum': 6949}","{'algo_name': 'OutAndInByPercentage_BIT', 'makespan': 268, 'sum': 174238}","{'algo_name': 'OutAndInByPercentage_BIT', 'makespan': 42, 'sum': 1432}","{'algo_name': 'OutAndInByPercentage_BIT', 'makespan': 41, 'sum': 2251}","{'algo_name': 'OutAndInByPercentage_BIT', 'makespan': 62, 'sum': 5019}","{'algo_name': 'OutAndInByPercentage_BIT', 'makespan': 55, 'sum': 3791}",,"{'algo_name': 'OutAndInByPercentage_BIT', 'makespan': 399, 'sum': 250344}","{'algo_name': 'OutAndInByPercentage_BIT', 'makespan': 110, 'sum': 29669}",,"{'algo_name': 'OutAndInByPercentage_BIT', 'makespan': 270, 'sum': 127751}",,"{'algo_name': 'OutAndInByPercentage_BIT', 'makespan': 149, 'sum': 65409}","{'algo_name': 'OutAndInByPercentage_BIT', 'makespan': 31, 'sum': 1031}","{'algo_name': 'OutAndInByPercentage_BIT', 'makespan': 284, 'sum': 160025}","{'algo_name': 'OutAndInByPercentage_BIT', 'makespan': 117, 'sum': 32670}",,"{'algo_name': 'OutAndInByPercentage_BIT', 'makespan': 352, 'sum': 221867}","{'algo_name': 'OutAndInByPercentage_BIT', 'makespan': 941, 'sum': 555695}","{'algo_name': 'OutAndInByPercentage_BIT', 'makespan': 59, 'sum': 4787}",,"{'algo_name': 'OutAndInByPercentage_BIT', 'makespan': 489, 'sum': 312507}","{'algo_name': 'OutAndInByPercentage_BIT', 'makespan': 1039, 'sum': 210072}","{'algo_name': 'OutAndInByPercentage_BIT', 'makespan': 264, 'sum': 163867}","{'algo_name': 'OutAndInByPercentage_BIT', 'makespan': 20, 'sum': 116}","{'algo_name': 'OutAndInByPercentage_BIT', 'makespan': 478, 'sum': 372222}","{'algo_name': 'OutAndInByPercentage_BIT', 'makespan': 72, 'sum': 5615}","{'algo_name': 'OutAndInByPercentage_BIT', 'makespan': 558, 'sum': 335126}","{'algo_name': 'OutAndInByPercentage_BIT', 'makespan': 23, 'sum': 348}","{'algo_name': 'OutAndInByPercentage_BIT', 'makespan': 176, 'sum': 103997}","{'algo_name': 'OutAndInByPercentage_BIT', 'makespan': 62, 'sum': 3960}"
"{'algo_name': 'dist_BFS_desc_BIT', 'makespan': 66, 'sum': 2001}",,,,"{'algo_name': 'dist_BFS_desc_BIT', 'makespan': 108, 'sum': 27600}","{'algo_name': 'dist_BFS_desc_BIT', 'makespan': 108, 'sum': 33502}",,,"{'algo_name': 'dist_BFS_desc_BIT', 'makespan': 51, 'sum': 2341}","{'algo_name': 'dist_BFS_desc_BIT', 'makespan': 58, 'sum': 1873}","{'algo_name': 'dist_BFS_desc_BIT', 'makespan': 60, 'sum': 4563}","{'algo_name': 'dist_BFS_desc_BIT', 'makespan': 70, 'sum': 6421}","{'algo_name': 'dist_BFS_desc_BIT', 'makespan': 73, 'sum': 6674}","{'algo_name': 'dist_BFS_desc_BIT', 'makespan': 66, 'sum': 3440}","{'algo_name': 'dist_BFS_desc_BIT', 'makespan': 64, 'sum': 3350}",,,,,,,"{'algo_name': 'dist_BFS_desc_BIT', 'makespan': 139, 'sum': 45648}","{'algo_name': 'dist_BFS_desc_BIT', 'makespan': 147, 'sum': 44185}",,,"{'algo_name': 'dist_BFS_desc_BIT', 'makespan': 72, 'sum': 8023}",,"{'algo_name': 'dist_BFS_desc_BIT', 'makespan': 43, 'sum': 1704}","{'algo_name': 'dist_BFS_desc_BIT', 'makespan': 53, 'sum': 2767}","{'algo_name': 'dist_BFS_desc_BIT', 'makespan': 60, 'sum': 5217}","{'algo_name': 'dist_BFS_desc_BIT', 'makespan': 56, 'sum': 4341}",,,"{'algo_name': 'dist_BFS_desc_BIT', 'makespan': 114, 'sum': 37037}",,,,"{'algo_name': 'dist_BFS_desc_BIT', 'makespan': 175, 'sum': 67049}","{'algo_name': 'dist_BFS_desc_BIT', 'makespan': 39, 'sum': 1455}",,"{'algo_name': 'dist_BFS_desc_BIT', 'makespan': 125, 'sum': 40138}",,,,"{'algo_name': 'dist_BFS_desc_BIT', 'makespan': 60, 'sum': 5333}",,,,"{'algo_name': 'dist_BFS_desc_BIT', 'makespan': 264, 'sum': 226835}","{'algo_name': 'dist_BFS_desc_BIT', 'makespan': 25, 'sum': 122}",,"{'algo_name': 'dist_BFS_desc_BIT', 'makespan': 68, 'sum': 5975}",,"{'algo_name': 'dist_BFS_desc_BIT', 'makespan': 22, 'sum': 386}",,"{'algo_name': 'dist_BFS_desc_BIT', 'makespan': 62, 'sum': 4444}"
"{'algo_name': 'dist_BFS_BIT', 'makespan': 62, 'sum': 1835}",,,,"{'algo_name': 'dist_BFS_BIT', 'makespan': 110, 'sum': 27012}","{'algo_name': 'dist_BFS_BIT', 'makespan': 111, 'sum': 33738}",,,"{'algo_name': 'dist_BFS_BIT', 'makespan': 54, 'sum': 2249}","{'algo_name': 'dist_BFS_BIT', 'makespan': 56, 'sum': 1923}","{'algo_name': 'dist_BFS_BIT', 'makespan': 66, 'sum': 4267}","{'algo_name': 'dist_BFS_BIT', 'makespan': 69, 'sum': 6405}","{'algo_name': 'dist_BFS_BIT', 'makespan': 74, 'sum': 6852}","{'algo_name': 'dist_BFS_BIT', 'makespan': 64, 'sum': 3318}","{'algo_name': 'dist_BFS_BIT', 'makespan': 70, 'sum': 3220}",,,,,,,"{'algo_name': 'dist_BFS_BIT', 'makespan': 132, 'sum': 41054}","{'algo_name': 'dist_BFS_BIT', 'makespan': 142, 'sum': 41555}",,,"{'algo_name': 'dist_BFS_BIT', 'makespan': 79, 'sum': 8121}",,"{'algo_name': 'dist_BFS_BIT', 'makespan': 42, 'sum': 1550}","{'algo_name': 'dist_BFS_BIT', 'makespan': 49, 'sum': 2389}","{'algo_name': 'dist_BFS_BIT', 'makespan': 61, 'sum': 5035}","{'algo_name': 'dist_BFS_BIT', 'makespan': 59, 'sum': 4099}",,,"{'algo_name': 'dist_BFS_BIT', 'makespan': 133, 'sum': 35015}",,,,"{'algo_name': 'dist_BFS_BIT', 'makespan': 177, 'sum': 65845}","{'algo_name': 'dist_BFS_BIT', 'makespan': 36, 'sum': 1151}",,"{'algo_name': 'dist_BFS_BIT', 'makespan': 121, 'sum': 35890}",,,,"{'algo_name': 'dist_BFS_BIT', 'makespan': 65, 'sum': 5181}",,,,"{'algo_name': 'dist_BFS_BIT', 'makespan': 272, 'sum': 186533}","{'algo_name': 'dist_BFS_BIT', 'makespan': 27, 'sum': 118}",,"{'algo_name': 'dist_BFS_BIT', 'makespan': 72, 'sum': 5651}",,"{'algo_name': 'dist_BFS_BIT', 'makespan': 33, 'sum': 416}",,"{'algo_name': 'dist_BFS_BIT', 'makespan': 73, 'sum': 4276}"
